# FractureId; NumTraces
0; 113 
# TraceId; Tips; Length
111; true; 4.3164593182822353e-01
13; true; 4.3135252730008572e-01
38; true; 4.3107415689891010e-01
76; true; 4.1800555779804316e-01
83; true; 4.1509570119349104e-01
8; true; 4.1148391845808224e-01
25; true; 4.0203555917989886e-01
82; true; 3.8492851526239807e-01
106; true; 3.8338696838409353e-01
11; true; 3.7664571052867446e-01
97; true; 3.7488649826279818e-01
27; true; 3.6986339736091989e-01
42; true; 3.6116490353446223e-01
33; true; 3.5053761049990551e-01
103; true; 3.4710732806097078e-01
86; true; 3.4294539967418203e-01
104; true; 3.4045107412141212e-01
75; true; 3.2114363599468848e-01
79; true; 3.1171369323265397e-01
84; true; 2.9479338757500484e-01
69; true; 2.7562843423941263e-01
32; true; 2.6462845507924193e-01
47; true; 2.6042535599010463e-01
55; true; 2.5823740590273309e-01
109; true; 2.5763383605361390e-01
26; true; 2.5021635734361397e-01
91; true; 2.4982488236357778e-01
41; true; 2.4179643398560596e-01
65; true; 2.3527177804675026e-01
49; true; 2.0696436699973622e-01
10; true; 1.9350010847403673e-01
24; true; 1.8281591411641943e-01
77; true; 1.8028649290330651e-01
1; true; 1.7923457329795650e-01
112; true; 1.6660416425126817e-01
57; true; 1.5879143439932700e-01
72; true; 1.3421580813045580e-01
35; true; 1.3345118204797438e-01
17; true; 1.1327551355803224e-01
20; true; 9.9596393639698008e-02
92; true; 7.7914503723165995e-02
60; true; 6.5378311033676140e-02
107; true; 2.1666099818173409e-02
73; true; 1.6433124820834075e-02
89; true; 1.0938152815214231e-02


# FractureId; NumTraces
1; 93
# TraceId; Tips; Length
163; false; 7.2296071071920631e-01
182; false; 6.9062406905993945e-01
134; false; 2.1656226757294955e-01
197; false; 1.2333868688635075e-01
125; true; 1.4191526304972921e+00
158; true; 1.3131270394307686e+00
176; true; 1.2805108048354343e+00
178; true; 1.2196218854387717e+00
150; true; 1.1817039631278778e+00
180; true; 1.1699395358269775e+00
117; true; 1.0834608041328428e+00
145; true; 1.0521073256948923e+00
136; true; 1.0328059340852553e+00
149; true; 1.0272281451091863e+00
157; true; 1.0238519391210832e+00
138; true; 1.0149089096304320e+00
170; true; 1.0023628990661246e+00
115; true; 9.8967480322363066e-01
151; true; 9.5469727530444992e-01
128; true; 9.0595120776100890e-01
127; true; 9.0476800464899942e-01
196; true; 8.9544299236705116e-01
185; true; 8.6843983038869421e-01
126; true; 8.1786227801855338e-01
159; true; 8.1770897109152818e-01
116; true; 7.9235959921702659e-01
181; true; 7.8951598968818171e-01
200; true; 7.8818040715355264e-01
183; true; 7.6915197588761242e-01
147; true; 7.5130754320252158e-01
171; true; 7.3787940414696351e-01
203; true; 7.2887260685613331e-01
139; true; 7.2210453977177225e-01
124; true; 7.1561267798328865e-01
113; true; 7.0834150443094812e-01
132; true; 7.0709705843697102e-01
177; true; 6.7803165171353219e-01
