# Number of Traces
8985
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
31; 0; 52; 9.27507229e-01; 5.79727346e-01; 2.63534400e-01; 4.89712935e-01; 3.80474069e-01; 6.52351717e-01
32; 0; 53; 4.50255244e-01; 2.54448852e-01; 6.09665092e-01; 6.15667685e-01; 4.52526555e-01; 5.51080392e-01
33; 0; 55; 6.29435589e-01; 7.04735077e-01; 7.15753644e-01; 8.75734401e-01; 8.01106313e-01; 4.85696919e-01
34; 0; 56; 1.10099717e+00; 6.61547823e-01; 1.11510300e-01; 8.02308791e-01; 8.19295718e-01; 5.88028459e-01
35; 0; 57; 4.71833121e-01; 4.38405970e-01; 7.15753644e-01; 5.66288847e-01; 5.04318534e-01; 6.48352845e-01
36; 0; 58; 6.68307598e-01; 1.25414555e-01; 2.51812495e-01; 5.74705866e-01; 5.97029087e-01; 7.04806680e-01
37; 0; 61; 7.74125156e-01; 9.49242944e-01; 7.15753644e-01; 5.78603950e-01; 5.09185789e-01; 6.36884835e-01
38; 0; 62; 8.25918539e-01; 1.03676750e+00; 7.15753644e-01; 1.11144289e+00; 1.07312233e+00; 3.94850077e-01
39; 0; 63; 9.11562061e-01; 3.41425411e-01; 1.11510300e-01; 7.71574909e-01; 8.48937782e-01; 6.46706156e-01
40; 0; 66; 6.57515707e-01; 1.31800746e-01; 2.69523406e-01; 9.28155094e-01; 5.84580925e-01; 2.66237998e-01
41; 0; 67; 5.10760258e-01; 5.04188123e-01; 7.15753644e-01; 5.91982615e-01; 3.77926260e-01; 5.26211073e-01
42; 0; 68; 4.56947511e-01; 2.50488648e-01; 5.98682202e-01; 6.44163126e-01; 5.59294059e-01; 5.93239904e-01
43; 0; 70; 7.92242905e-01; 1.39790471e-01; 1.11510300e-01; 5.85383208e-01; 1.74485753e-01; 3.87902326e-01
44; 0; 71; 4.34086827e-01; 3.74619299e-01; 7.15753644e-01; 4.83670557e-01; 2.34675062e-01; 5.54826167e-01
45; 0; 72; 8.09816650e-01; 1.69487974e-01; 1.11510300e-01; 5.30609640e-01; 2.78929408e-01; 5.29603226e-01
46; 0; 74; 1.11066582e+00; 6.77886682e-01; 1.11510300e-01; 7.35551757e-01; 3.41285575e-01; 3.25348977e-01
47; 0; 77; 4.75668378e-01; 2.39410418e-01; 5.67958795e-01; 5.67047936e-01; 4.76006106e-01; 6.27065672e-01
48; 0; 78; 5.85912881e-01; 6.31186965e-01; 7.15753644e-01; 7.42856748e-01; 1.59856359e-01; 1.85971770e-01
49; 0; 80; 4.59902127e-01; 2.48740228e-01; 5.93833287e-01; 5.79229533e-01; 4.16025259e-01; 5.69116124e-01
50; 0; 81; 1.04600207e+00; 1.19233777e+00; 5.60141976e-01; 5.52177228e-01; 5.74177792e-01; 7.15753644e-01
51; 0; 82; 3.99182133e-01; 2.84671791e-01; 6.93482785e-01; 1.10372328e+00; 1.01281489e+00; 3.60855402e-01
52; 0; 83; 3.85618543e-01; 2.92713762e-01; 7.15753644e-01; 3.85614809e-01; 2.92700368e-01; 7.15748549e-01
53; 0; 84; 1.23351924e+00; 1.08137292e+00; 2.52401623e-01; 4.67640667e-01; 3.99671431e-01; 6.92988640e-01
54; 0; 86; 1.00859064e+00; 5.05391980e-01; 1.11510300e-01; 6.11584154e-01; 5.72230885e-01; 6.42144585e-01
55; 0; 87; 1.14933285e+00; 1.13119092e+00; 3.90562572e-01; 9.78720545e-01; 9.54870247e-01; 4.71117016e-01
56; 0; 89; 4.79764068e-01; 2.36986760e-01; 5.61237230e-01; 9.73197168e-01; 9.44991634e-01; 4.70725172e-01
57; 0; 93; 6.49622107e-01; 1.36471850e-01; 2.82477842e-01; 7.38337315e-01; 2.67464315e-01; 2.68865144e-01
58; 0; 94; 6.84126142e-01; 7.97155497e-01; 7.15753644e-01; 1.05528117e+00; 9.59018708e-01; 3.81042025e-01
59; 0; 95; 7.55604911e-01; 7.78766927e-02; 1.11510300e-01; 7.27356921e-01; 4.21080415e-01; 3.92704413e-01
60; 0; 97; 4.83044070e-01; 4.57351118e-01; 7.15753644e-01; 4.77945223e-01; 4.01657878e-01; 6.81892334e-01
61; 0; 99; 6.05905661e-01; 6.64972346e-01; 7.15753644e-01; 4.37367190e-01; 2.62075465e-01; 6.30816083e-01
62; 0; 101; 6.73006673e-01; 7.78364939e-01; 7.15753644e-01; 1.07717627e+00; 6.40884133e-01; 1.25601494e-01
63; 0; 104; 9.44048500e-01; 3.96323564e-01; 1.11510300e-01; 6.43793116e-01; 1.39921204e-01; 2.92043984e-01
64; 0; 105; 7.00640630e-01; 1.06281214e-01; 1.98749736e-01; 8.26084994e-01; 5.76717357e-01; 3.84647377e-01
65; 0; 106; 6.66711617e-01; 7.67727056e-01; 7.15753644e-01; 7.96906540e-01; 7.22612678e-01; 5.25052872e-01
66; 0; 107; 6.81005324e-01; 7.91881692e-01; 7.15753644e-01; 7.78890680e-01; 4.41066897e-01; 3.44441336e-01
67; 0; 108; 9.82866040e-01; 1.22969905e+00; 6.63756503e-01; 4.53393379e-01; 2.52591834e-01; 6.04514999e-01
68; 0; 109; 5.03516668e-01; 4.91947332e-01; 7.15753644e-01; 7.61955671e-01; 3.37348448e-01; 2.90423321e-01
69; 0; 113; 1.08254823e+00; 1.17071128e+00; 5.00164912e-01; 1.03536841e+00; 9.26334693e-01; 3.81736943e-01
