# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
269; true; 2.4586594132640935e-01
274; true; 2.2091967426285641e-01


# FractureId; NumTraces
17; 14
# TraceId; Tips; Length
92; false; 1.8037308236993058e-01
283; false; 5.7813318023177229e-01
282; false; 5.7141276143016972e-01
279; true; 7.2096251388833710e-01
75; true; 5.2284873226797357e-01
281; true; 5.1449486644396136e-01
15; true; 5.0797391303725326e-01
284; true; 3.9728717813407938e-01
285; true; 3.1081710518495481e-01
288; true; 3.0027098848061817e-01
264; true; 1.3335016800802477e-01
287; true; 1.2523403959159515e-01
280; true; 1.2244077852624445e-01
286; true; 1.5334234204175685e-03


# FractureId; NumTraces
18; 22
# TraceId; Tips; Length
232; false; 6.1228031129643568e-01
76; false; 1.4828813920453793e-01
303; true; 9.5034609099066369e-01
293; true; 7.3941562791058080e-01
301; true; 6.0398663078303827e-01
299; true; 5.7845539597583240e-01
300; true; 5.7349749831047225e-01
302; true; 5.7226407872323359e-01
265; true; 5.5575048792071391e-01
290; true; 5.2825705364916253e-01
217; true; 4.7816616804745393e-01
16; true; 4.6385210114130870e-01
164; true; 4.6053016527194829e-01
291; true; 3.7981880314494182e-01
294; true; 3.5349957052471886e-01
292; true; 2.6881583157071914e-01
295; true; 2.0183382647542725e-01
298; true; 1.5471811972642133e-01
93; true; 1.4546681590113170e-01
289; true; 1.3457166423854341e-01
297; true; 1.1346007221431874e-01
296; true; 1.0847641805485218e-01


# FractureId; NumTraces
19; 13
# TraceId; Tips; Length
289; false; 1.3457166423854341e-01
307; false; 7.1282370419629681e-01
279; true; 7.2096251388833710e-01
266; true; 6.2035706557642667e-01
311; true; 5.1849789208316599e-01
310; true; 4.1137564240800994e-01
306; true; 4.0979010525824028e-01
17; true; 3.8492992607914428e-01
308; true; 3.7838499031190326e-01
305; true; 3.7250681748203807e-01
309; true; 2.7273963741562918e-01
218; true; 9.3868185844018431e-02
304; true; 2.8412567098886340e-02


# FractureId; NumTraces
20; 7
# TraceId; Tips; Length
312; true; 5.9835354302756272e-01
314; true; 5.9249086595994715e-01
38; true; 5.2300954394792043e-01
137; true; 2.5879726107968914e-01
110; true; 1.4973175970221278e-01
313; true; 1.2889594698634529e-01
187; true; 1.0296992401265102e-01


# FractureId; NumTraces
21; 32
# TraceId; Tips; Length
165; false; 8.9344226089632439e-01
233; false; 8.8248469577413224e-01
188; false; 1.0477358321673684e-01
323; false; 4.1444694135893845e-01
